2026-03-20 11:01:41 - INFO - Training of steGANdalf/ started.
2026-03-20 11:01:47 - INFO - [0/30] None tau=1.000 Adversary training started.
2026-03-20 11:03:34 - INFO - train27.py - tr: [ 0][65]  loss_a 0.8859  loss_e 1.9198  α27 0.4162  α3 0.5467  α3r 0.8158  α3g 0.3941  α3b 0.4302  β27 0.2701  β2 0.4064  β2r 0.2421  β2g 0.0763  β2b 0.0880  p_e 0.4506  roc_auc 0.5629  sd/loss_a 0.4836  sd/loss_e 0.0773  g/ρ27 0.0091  L2/ρ27 0.0071
2026-03-20 11:03:40 - INFO - train27.py - tr: [ 0][70]  loss_a 0.1759  loss_e 1.8986  α27 0.3761  α3 0.5726  α3r 0.8162  α3g 0.4396  α3b 0.4619  β27 0.2954  β2 0.4814  β2r 0.2733  β2g 0.0972  β2b 0.1109  p_e 0.4554  roc_auc 0.5415  sd/loss_a 0.4242  sd/loss_e 0.0615  g/ρ27 0.0432  L2/ρ27 0.0121
2026-03-20 11:03:46 - INFO - train27.py - tr: [ 0][75]  loss_a 0.9329  loss_e 2.0238  α27 0.2879  α3 0.4807  α3r 0.6291  α3g 0.3955  α3b 0.4176  β27 0.2081  β2 0.3798  β2r 0.1729  β2g 0.0868  β2b 0.1201  p_e 0.4681  roc_auc 0.5314  sd/loss_a 0.4162  sd/loss_e 0.0679  g/ρ27 0.0090  L2/ρ27 0.0029
2026-03-20 11:03:53 - INFO - train27.py - tr: [ 0][80]  loss_a 0.6164  loss_e 1.8521  α27 0.3185  α3 0.5791  α3r 0.6530  α3g 0.5344  α3b 0.5500  β27 0.2024  β2 0.4549  β2r 0.1806  β2g 0.1317  β2b 0.1426  p_e 0.4613  roc_auc 0.5459  sd/loss_a 0.4472  sd/loss_e 0.0645  g/ρ27 0.0707  L2/ρ27 0.0051
2026-03-20 11:03:59 - INFO - train27.py - tr: [ 0][85]  loss_a 0.2469  loss_e 1.9041  α27 0.3017  α3 0.5357  α3r 0.6054  α3g 0.4869  α3b 0.5148  β27 0.2136  β2 0.4428  β2r 0.1667  β2g 0.1153  β2b 0.1607  p_e 0.4710  roc_auc 0.5243  sd/loss_a 0.3755  sd/loss_e 0.0524  g/ρ27 0.0391  L2/ρ27 0.0037
2026-03-20 11:04:05 - INFO - train27.py - tr: [ 0][90]  loss_a 0.3176  loss_e 2.0322  α27 0.2347  α3 0.4544  α3r 0.5281  α3g 0.3958  α3b 0.4391  β27 0.2026  β2 0.4030  β2r 0.1445  β2g 0.0898  β2b 0.1688  p_e 0.4643  roc_auc 0.5452  sd/loss_a 0.3742  sd/loss_e 0.0586  g/ρ27 0.0729  L2/ρ27 0.0049
2026-03-20 11:04:11 - INFO - train27.py - tr: [ 0][95]  loss_a 0.2456  loss_e 1.8246  α27 0.2792  α3 0.4794  α3r 0.5351  α3g 0.4303  α3b 0.4728  β27 0.1560  β2 0.3373  β2r 0.1291  β2g 0.0910  β2b 0.1172  p_e 0.4609  roc_auc 0.5406  sd/loss_a 0.3326  sd/loss_e 0.0611  g/ρ27 0.0410  L2/ρ27 0.0029
2026-03-20 11:04:18 - INFO - train27.py - tr: [ 0][100]  loss_a 0.4225  loss_e 1.8160  α27 0.3496  α3 0.5310  α3r 0.6186  α3g 0.4575  α3b 0.5167  β27 0.2010  β2 0.3916  β2r 0.1529  β2g 0.0963  β2b 0.1424  p_e 0.4577  roc_auc 0.5313  sd/loss_a 0.3219  sd/loss_e 0.0795  g/ρ27 0.0563  L2/ρ27 0.0059
2026-03-20 11:04:24 - INFO - train27.py - tr: [ 0][105]  loss_a -0.0238  loss_e 1.8881  α27 0.4815  α3 0.6395  α3r 0.7290  α3g 0.5338  α3b 0.6556  β27 0.2488  β2 0.4626  β2r 0.1791  β2g 0.1126  β2b 0.1708  p_e 0.4569  roc_auc 0.5461  sd/loss_a 0.3552  sd/loss_e 0.0740  g/ρ27 0.0488  L2/ρ27 0.0075
2026-03-20 11:04:30 - INFO - train27.py - tr: [ 0][110]  loss_a 0.9595  loss_e 1.9139  α27 0.3983  α3 0.5376  α3r 0.6119  α3g 0.4583  α3b 0.5424  β27 0.2004  β2 0.3779  β2r 0.1461  β2g 0.0959  β2b 0.1359  p_e 0.4501  roc_auc 0.5433  sd/loss_a 0.3195  sd/loss_e 0.0750  g/ρ27 0.0095  L2/ρ27 0.0018
